event_time,open,high,low,close,volume
2020-06-26 08:00:00,10058.176926426217,10062.07665793626,10042.378305718314,10050.80001203175,5055030.635917033
2020-06-26 12:00:00,10040.015846043458,10296.040716096779,10036.996697769127,10237.272653561664,19280177.32891023
2020-06-26 16:00:00,10223.362846938075,10513.763167566827,10208.028487026022,10411.027737392176,14741345.852526223
2020-06-26 20:00:00,10452.499918593749,10473.723366898517,10334.041723771861,10400.140882145857,31560508.03191298
2020-06-27 00:00:00,10212.700419502784,10220.779687003778,9849.911385496616,9875.78879081759,11158206.891065951
2020-06-27 04:00:00,9926.524507920047,9928.555439061884,9660.080626585013,9826.49067010618,7693960.531860423
2020-06-27 08:00:00,9781.079555952952,9824.414926719026,9615.00595944549,9623.500524061963,24481305.838939622
2020-06-27 12:00:00,9671.9367777691,9681.074887850771,9481.263136081978,9506.330658128038,29793163.00087828
2020-06-27 16:00:00,9473.905295776292,9607.19966916648,9394.129695093588,9600.467236077377,10331132.501809046
2020-06-27 20:00:00,9491.71605830778,9582.509137108553,9447.365969815268,9485.272257638575,8816144.37031599
2020-06-28 00:00:00,9297.664316667531,9306.92379737184,9142.754132594688,9268.4394698469,33829954.1419478
2020-06-28 04:00:00,9251.231419375279,9302.563772505075,9081.13723555596,9113.674396441937,30930331.79195347
2020-06-28 08:00:00,9011.629506536223,9178.312500385618,9003.431672939667,9137.424312972827,11130246.732256636
2020-06-28 12:00:00,8962.201687599867,9015.086341132657,8888.815912572007,8915.30031519185,41339303.587902576
2020-06-28 16:00:00,8978.15029744661,9170.586097448682,8959.09844173422,9074.935941380958,8067341.9128654795
2020-06-28 20:00:00,9072.801283771818,9179.83123716163,9038.645909888759,9125.754133066626,16475430.175353045
2020-06-29 00:00:00,9145.678211668652,9156.343341411333,8900.354057461213,8977.700614638223,52791724.37545806
2020-06-29 04:00:00,9129.150470922244,9234.57739974774,9079.887939240363,9222.422817776984,21440516.42310895
2020-06-29 08:00:00,9156.438055474142,9362.441499229908,9152.107502622179,9339.219144111737,23244939.76786793
2020-06-29 12:00:00,9496.295805331856,9496.979632233299,9217.025728689106,9329.310647775827,34741510.08293589
2020-06-29 16:00:00,9303.383474468907,9326.613669148514,9104.630335934771,9110.396672060202,10806177.19508746
2020-06-29 20:00:00,9110.594497153425,9317.524372766951,9098.19210771078,9160.480931642327,12723891.03371789
2020-06-30 00:00:00,9107.89433534464,9236.07441330039,9099.35502493346,9183.652860407732,17684339.17203788
2020-06-30 04:00:00,9264.460989109622,9336.032324715687,9223.943703215145,9268.248411524899,12574616.436629236
2020-06-30 08:00:00,9203.278477378552,9239.379626836437,9064.962840067166,9098.620054356044,11671056.27358784
2020-06-30 12:00:00,9137.64141215137,9141.150668450737,8960.20818221435,8977.171618584198,23891342.807720583
2020-06-30 16:00:00,8959.8786221682,8969.272412925335,8778.739776913724,8827.003830385276,16110575.794630144
2020-06-30 20:00:00,8857.981461289419,9079.396644844082,8854.112315806378,9074.236910275751,16998383.937467843
2020-07-01 00:00:00,9055.411821231288,9072.165641686595,8879.603930973526,8901.717909294719,26279286.126572262
2020-07-01 04:00:00,9158.723405502478,9165.362577700744,9097.388437181078,9134.161984415538,15373863.174342519
2020-07-01 08:00:00,9012.140320063918,9282.426563835592,9006.563437167799,9277.504012006346,13991275.44348696
2020-07-01 12:00:00,9186.234923943177,9333.206046951218,9177.179778083015,9251.41650308353,21416298.53178165
2020-07-01 16:00:00,9484.76721573758,9494.402945050495,9307.980015998795,9323.232512141189,22451198.26156677
2020-07-01 20:00:00,9272.58915441285,9278.16394946825,9027.191386620882,9046.97643572412,15216481.406557623
